Event,ID,Rank,Name,Gender,Country,Qualification,Semi-Final,Final
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",3147,79,JEAN OURIQUES,M,BRA,16   84. | 29   70. [77.50],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",3903,80,BENJAMIN AYALA,M,CHI,22   72. | 21   84. [78.84],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",109,81,ALEKSANDR SHIKOV,M,RUS,20   80. | 26+  79. [79.50],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",84,82,EVGENII KALASHNIKOV,M,RUS,14+  86. | 29   70. [79.55],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",3220,83,NICKOLAIE RIVADENEIRA,M,ECU,21   78. | 21+  81. [79.97],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2874,84,OLAF MALINOWSKI,M,POL,19   81. | 21+  81. [81.50],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",856,85,LEONARDO GONTERO,M,ITA,20+  79. | 17+  85. [81.95],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",865,86,LUDOVICO FOSSALI,M,ITA,18   83. | 15+  86. [84.49],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",3138,87,PEDRO FERREIRA NICOLOSO,M,BRA,14+  86. | 21+  81. [85.19],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",4079,88,ALI ŞEN,M,TUR,18+  82. | 10+  89. [85.67],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",3915,89,EMILIO RIOS,M,CHI,15   85. | 10   91. [87.95],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",3163,90,SANTIAGO CHRISTENSEN,M,ARG,14+  86. | 11   87. [88.00],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",3916,91,BENJAMIN VARGAS,M,CHI,14+  86. | 10+  89. [89.00],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",4081,92,MUHAMMET NURİ AYDEMİR,M,TUR,14   92. | 11   87. [89.72],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",4095,93,UGUR ILERIGELEN,M,TUR,14+  86. | 7+  92. [90.48],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",3225,94,JUAN MARTIN PEÑA,M,ECU,7+  95. | 7+  92. [93.74],,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",4074,95,İSMAİL ÖZTÜRK,M,TUR,8   93. | 6+  94. [93.75],,
